,EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y
0,210754915,0.683214,12.38,11.665999999999999,11.34,11.149000000000001,11.059000000000001,10.002,9.537,9.418,56.11709637,19.18482537,K4,4620,3.665,-0.55,7.04,-0.71,1.1,1.306,0.47700000000000004,1.004,0.64,1.19,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009000000000000001,0.73,,,4.98,4.31,6.48,,,0.6890000000000001,K4V,V  ,2.21,1.0,0.38,0.16,1.01,0.59,0.1,5.21,209.99999999914502,0.1378,0.16,1.33939870130414e+31,6.98765129706233e+31,5.70097755537019e+30,2.574345873865e+31,1.2309999999999999,1.04,0.584000000000001,0.516999999999998,0.584000000000001,12.520532645120001,12.38,11.69958614912,11.665999999999999,11.33239856512,11.34,11.110158182400001,11.149000000000001,11.102295370240002,11.059000000000001
1,210762863,0.673335,15.8199,14.5931,13.7533,13.3511,13.1332,11.954,11.253,11.048,56.04968318,19.305187699999998,M2,3550,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.3762615801565,0.0868,0.125,1.16202515496483e+30,4.7242320799195404e+29,3.85714455820461e+29,1.3597432953833699e+29,2.4688,2.0666,0.906000000000001,1.242,0.906000000000001,16.05218913082638,15.8199,14.623077744099891,14.5931,13.75216679161601,13.7533,13.280981731277365,13.3511,13.248411499018106,13.1332
2,210769047,0.710693,19.058,17.7894,16.2031,15.4503,15.0679,13.764000000000001,13.104000000000001,12.890999999999998,59.09975737,19.39809525,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.6077,2.8549,0.873000000000001,2.3391,0.873000000000001,19.348585120676166,19.058,17.826829434093373,17.7894,16.210936164422225,16.2031,15.331647179776173,15.4503,15.298308714012366,15.0679
3,210776021,0.736155,17.3165,16.1235,14.7813,14.163,13.8412,12.615,11.936,11.720999999999998,58.80685642,19.50451217,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000299,0.0738,0.145,6.4844888093294e+29,1.42669527973314e+29,2.8165829772900197e+29,4.76337656086982e+28,3.1535,2.5352,0.8940000000000021,1.9605,0.8940000000000021,17.5843063658716,17.3165,16.155587017466484,16.1235,14.784949537353842,14.7813,14.068591624230349,14.163,14.013141843326817,13.8412
4,210779549,0.197686,9.562000000000001,9.331,9.26,9.243,9.236,8.404,8.225,8.152000000000001,56.256958,19.559372,G1,5880,3.7689999999999997,-0.1,4.5,0.13,0.604,0.6609999999999999,0.195,0.067,0.34,0.672,1.4580000000000002,0.267,0.068,0.027000000000000003,-0.044000000000000004,-0.042,-0.01,1.07,9.8,,3.38,3.04,4.4,,,1.12,G1V,,,,,,,,,,77.6745346493424,0.22399999999999998,0.165,1.11772168338427e+32,8.40100463596628e+33,2.84615939497311e+31,3.19176462675672e+33,0.31900000000000106,0.30200000000000105,0.251999999999999,0.08799999999999901,0.251999999999999,9.619417035162641,9.562000000000001,9.35793398485264,9.331,9.249463780652642,9.26,9.2339133295688,9.243,9.20103516507128,9.236
5,210784223,0.9072620000000001,13.712,12.909,12.425,12.116,11.956,10.765999999999998,10.154,9.976,58.81568144,19.62936219,K9,3940,3.595,-1.1,8.69,-1.18,1.382,1.5930000000000002,0.7909999999999999,1.21,0.866,1.699,3.5839999999999996,0.625,0.184,0.10099999999999999,,,,0.61,,,5.92,5.11,7.59,,,0.552,K9V,,,,,,,,,,65.0640709836479,0.1104,0.13,3.44583313604648e+30,5.42414417135138e+30,1.00909876981435e+30,1.62364195645655e+30,1.5959999999999999,1.287,0.789999999999997,0.793000000000001,0.789999999999997,13.876798624542488,13.712,12.94202677943874,12.909,12.418591209663742,12.425,12.070245997043298,12.116,12.015895973502229,11.956
6,210791550,0.7511979999999999,18.8014,17.5365,15.9606,15.2448,14.8836,13.61,12.959000000000001,12.695,59.81939593,19.74078657,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.5566,2.8408,0.9149999999999989,2.2917,0.9149999999999989,19.090999222952362,18.8014,17.573608459267884,17.5365,15.968233791335722,15.9606,15.127377328118323,15.2448,15.111010768161746,14.8836
7,210803812,0.8119029999999999,18.1235,16.8415,15.3888,14.7204,14.3899,13.125,12.497,12.214,54.79260466,19.92507123,M3.5,3250,3.512,-2.27,12.19,-2.07,1.6019999999999999,,1.4669999999999999,1.2,1.178,2.68,5.0,0.5579999999999999,0.26899999999999996,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431299,0.0582,0.375,2.95712323773491e+29,2.53706284034917e+28,1.24695916365012e+29,2.19067615356642e+28,3.4031,2.7347,0.9109999999999999,2.1211,0.9109999999999999,18.40562972937009,18.1235,16.87645999879215,16.8415,15.394964911168936,15.3888,14.611735190705584,14.7204,14.59605495854163,14.3899
8,210804191,0.5085850000000001,17.6783,16.4284,15.0742,14.4618,14.1517,12.915999999999999,12.282,12.008,59.20820496,19.93028414,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000299,0.0738,0.145,6.4844888093294e+29,1.42669527973314e+29,2.8165829772900197e+29,4.76337656086982e+28,3.2165,2.6041,0.908000000000001,1.9666,0.908000000000001,17.951098128429965,17.6783,16.46131891738582,16.4284,15.078683099633814,15.0742,14.362775344451602,14.4618,14.334660509436743,14.1517
9,210815768,0.803258,19.5327,18.2183,16.4637,15.6458,15.2302,13.785,13.274000000000001,12.917,57.39910562,20.10786974,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712e+29,6.372813724560239e+27,5.80173368171505e+28,2.2744616118030298e+27,3.8869,3.069,0.868,2.5725,0.868,19.83809070383147,19.5327,18.26171656318022,18.2183,16.474825200695218,16.4637,15.5064119052899,15.6458,15.51152197339469,15.2302
